"Designator","Description","MPN","MFN","Qty"
"C6","Capacitor, Multilayer, Ceramic, 50V, 10%, X7R, 15% Tc, 0.01Uf, Surface Mount, 0603","C0603C103K5RACTU","KEMET","1"
"C120","10 µF ±10% 50V Ceramic Capacitor X7R 1206 (3216 Metric)","C3216X7R1H106K160AC","TDK","1"
"C127","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 150pF X7R 0603 10%","C0603C151K5RACTU","KEMET","1"
"C132","Ceramic capacitor, 330 pF, 50 V (DC), ±10 %, SMD 0603, X7R, C0603C331K5RAC7867","C0603C331K5RACTU","KEMET","1"
"C137","SMD Multilayer Ceramic Capacitor, 33000 pF, 50 V, 0603 [1608 Metric], X7R","C0603C333K5RACTU","KEMET","1"
"C1,C2,C4,C5,C9,C12,C13,C14,C15,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C37,C39,C40,C41,C42,C44,C45,C46,C47,C49,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C84,C85,C86,C87,C88,C89,C90,C91,C92,C93,C94,C97,C99,C100,C101,C102,C103,C104,C105,C107,C109,C113,C114,C115,C116,C117,C123,C128,C133,C134,C146,C147,C148,C149,C150,C151","Capacitor, Ceramic, Multilayer, 50 V, X7R, 0.1 Uf, Surface Mount, 0603","C0603C104K5RACTU","KEMET","87"
"C10,C11,C18,C36,C58,C59,C106,C110,C112,C119,C125,C126,C129,C131,C138,C139,C141,C142,C143,C144","10 µF ±10% 25V Ceramic Capacitor X5R 0603 (1608 Metric)","GRM188R61E106KA73D","Murata Electronics","20"
"C16,C17,C121,C145","C Series 0603 4.7 uF 35 V ±10 % Tolerance X5R SMT Multilayer Ceramic Capacitor","C1608X5R1V475K080AC","TDK","4"
"C3,C140","Multilayer Ceramic Capacitors Mlcc - Smd/Smt 50V 1000Pf X7R 0603 10%","C0603C102K5RACTU","KEMET","2"
"C50,C51,C52,C53,C54,C55,C56,C57,C60,C61,C62,C63,C80,C81,C82,C83,C130","15 pF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)","C0603C150K5RACTU","KEMET","17"
"C7,C8,C31,C38,C43,C48,C95,C96,C98,C108,C111,C118,C122,C124,C135,C136","Ceramic Capacitor, Multilayer, Ceramic, 50V, 10% +Tol, 10% -Tol, X7R, 15% TC, 1uF, Surface Mount, 0603","C1608X7R1H105K080AB","TDK","16"
"CMC1","2 Line Common Mode Choke Surface Mount 1 kOhms @ 100 MHz 1.5A DCR 50mOhm (Typ)","ACP3225-102-2P-T000","TDK","1"
"D5","Dual High-Voltage TMBS (Trench MOS Barrier Schottky) Rectifier , 100V , 40A , -40C to +150C","V40D103C-M3/I","Vishay","1"
"D6","Schottky Diodes & Rectifiers Dual In Series 30Vr 200If 600Ifsm","CBAT54S TR PBFREE","Central Semiconductor","1"
"D1,D2,D3,D4","30V 0.2A Small Signal Schottky diode, SOD-123","BAT43W-7-F","Diodes Incorporated","4"
"J2","DC Barrel Jack with an internal switch","PJ-102AH","Same Sky (Formerly CUI Devices)","1"
"J4","Audio Jack, 3 Poles (Stereo / TRS)","SJ-3524-SMT-TR-BE","Same Sky (Formerly CUI Devices)","1"
"J17","Conn Unshrouded Header HDR 3 POS 2.54mm Solder ST Top Entry Thru-Hole Carton","5-146281-3","TE Connectivity","1"
"J18","HDR 1X4 TH 100MIL SP  336H AU 100L","TSW-104-07-G-S","SAMTEC","1"
"J1,J3","USB 2.0-only Type-C Receptacle connector","DX07S016JA1R1500","JAE Electronics","2"
"J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16","coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, LEMO, ...)","CONSMA002-SMD-G-T","TE Connectivity Linx","12"
"Jump1,Jump2,Jump3","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","M20-9990246","Harwin","3"
"L1","3.3 H Shielded Molded Inductor 5.4 A 37.4mOhm Max Nonstandard","XGL3530-332MEC","COILCRAFT","1"
"L2","COILCRAFT - XAL6030-332MEC - INDUCTOR, PWR, 3.3UH, 8A, 20%, 26MHZ","XAL6030-332MEC","COILCRAFT","1"
"L3","Wurth Shielded Wire-wound SMD Inductor 10 uH +/-20% 1.83A Idc","744778910","Wurth Elektronik","1"
"LED9","LED Uni-Color Soft Yellow 611nm 2-Pin Chip 0603(1608Metric) T/R","VLMY1300-GS08","Vishay","1"
"LED1,LED2,LED3","Red 0603 130° Clear 54 mcd 2 V Surface Mount ChipLED","VLMS1300-GS08","Vishay","3"
"LED4,LED5,LED6,LED7,LED8","LED Uni-Color True Green 530nm 2-Pin Chip 0603(1608Metric) T/R","VLMTG1300-GS08","Vishay","5"
"R107","Fixed Resistor, Thin Film, 0.1W, 4300ohm, 75V, 0.1% +/-Tol, 25ppm/Cel, Surface Mount, 0603","RT0603BRD074K3L","Yageo","1"
"R108","Fixed Resistor, Thin Film, 0.1W, 1420ohm, 75V, 0.1% +/-Tol, 25ppm/Cel, Surface Mount, 0603","RT0603BRD071K42L","Yageo","1"
"R109","Res Thin Film 0603 1.82K Ohm 0.1% 1/10W ±25ppm/°C Molded SMD SMD Paper T/R","RT0603BRD071K82L","Yageo","1"
"R110","Res Thin Film 0603 2.74K Ohm 0.1% 0.1W(1/10W) ±25ppm/C Pad SMD T/R","RT0603BRD072K74L","Yageo","1"
"R111","Fixed Resistor, Thin Film, 0.1W, 1180ohm, 75V, 0.1% +/-Tol, 25ppm/Cel, Surface Mount, 0603","RT0603BRD071K18L","Yageo","1"
"R112","Res Thin Film 0603 11.8K Ohm 0.1% 0.1W(1/10W) ±25ppm/C Pad SMD T/R","RT0603BRD0711K8L","Yageo","1"
"R116","Res Thick Film 0603 57.6K Ohm 1% 0.1W(1/10W) ±100ppm/C Pad SMD T/R","RC0603FR-0757K6L","Yageo","1"
"R117","Res Thick Film 0603 365K Ohm 1% 0.1W(1/10W) ±100ppm/C Pad SMD T/R","RC0603FR-07365KL","Yageo","1"
